Horodateur,Score,Quel type de baccalauréat avez-vous obtenu?,Dans quelles disciplines avez-vous décidé de vous spécialiser lors de votre cursus de baccalauréat (vos spécialités) ?,Dans quelles matières  vous sentez-vous le plus compétent ?,Quelle a été votre mention au baccalauréat?,Quelle filière d'études avez-vous décidé de poursuivre à l'université ou dans l'enseignement supérieur ?,"Avez-vous eu une préférence pour des études :
",Quels domaines d'études ou de formation universitaire avez-vous choisi de poursuivre ?,Avez-vous eu une préférence pour :,Dans quel pays avez-vous passé le baccalauréat?,Quels secteurs professionnels suscitent votre intérêt ou correspondent à votre domaine d'activité actuel ?,Quel était votre tranche d'âge au moment de l'obtention votre bac?,Quel est votre genre ?,"Question optionnelle:

Quelles sont vos qualités personnelles?","Question optionnelle:
 Avez-vous des loisirs, des hobbies ou des activités extra-scolaires qui vous passionnent ?","Question optionnelle:

Quelle a été la manière dont vous avez découvert ou choisi votre orientation académique ou votre domaine d'études ?",Quel est votre Niveau d'étude ?,Quels sont vos centres d'intérêt principaux?,Quel est votre pays de résidence?,Êtes-vous plus à l'aise avec des cours en :,"Question optionnelle:
Pouvez-vous formuler une remarque ou avez-vous quelque chose à ajouter ?",Quelle est l'année d'obtention de votre bac?,Êtes-vous content de la filière que vous avez choisie ?,Adresse e-mail,Dans quel établissement d'enseignement supérieur poursuivez-vous actuellement vos études ou avez-vous suivi votre formation ?
26/10/2023 19:57:45,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT)","Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Langues étrangères",Très-bien,médecine,Longues (>= master),Sciences de la vie et de la santé,Université,France,Secteurs de la santé / sciences/ social,12-17,Féminin,,,SVT,Licence,"Sciences, Santé et Bien-être, Théâtre et arts de la scène",France ,présentiel,,2021,Oui,,Université de Lille campus santé
26/10/2023 19:53:29,,Technique (équivalent),Arts,Sciences numériques et technologie,Passable,Licence arts plastiques ,Courtes ( < master),"Lettres, langues et art",Université,France ,,12-17,Masculin,,,,Bac,"Technologie et Informatique, Nature et Environnement, Musique",France,ligne,,2023,Non,,Université de Lille
26/10/2023 19:45:16,,Général ,"Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie","Histoire - Géographie, Sciences politiques",Bien,Licence Arts plastiques et visuel ,Courtes ( < master),Art,Université,France ,,12-17,Féminin,,,,Licence,Arts,,présentiel,,2023,Oui,,Université de Lille 3
26/10/2023 19:42:51,,Technique (équivalent),Rh (ressources humaines) ,"Philosophie, Langues étrangères",Passable,Art plastique ? ,Courtes ( < master),Art,Université,France,Design j'crois (j'veux être caracter designer) ,18-21,Masculin,"Très même trop ponctuel, je parle bien anglais aussi",,Parcoursup mdrr,Licence,"Arts, Musique, Photographie, Théâtre et arts de la scène, Cinema",France ,hybrides,Les profs sont beaucoup trop exigeant même si on est débutant dans certaines forme d'art ,2023,Oui,,Lille 3
26/10/2023 19:37:21,,Générale,"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Arts","Histoire - Géographie, Art, Sciences économiques et sociales, Sciences politiques, Education Civique et Morale",Assez-bien,Arts platiques et visuels,Longues (>= master),Art,Université,Espagne,Animation ou/et Illustration ,12-17,Féminin,,,,Bac,"Arts, Cuisine et Gastronomie, Voyages, Histoire et Archéologie, Science politique et Affaires publiques, Cinema",France,présentiel,,2023,Oui,,Université de Lille
26/10/2023 19:35:22,,Littéraire (équivalent),"Humanités, littérature et philosophie, Arts","Art, Et Splatoon",Passable,Art Plastique,Courtes ( < master),Art,Pour l'instant ayant teste que l'université jai pas davis,LA FRANCE 🦅,Artiste mais vu mon niveau actuelle je me rabat sur mon premier rêve camionneur ,12-17,Masculin,Jai pas l'impression d'en avoir je sais que jen ai mais jarrive pas a mettre de nom de dessus,,Les test de parcoursup car javais pas idée ,Bac,"Arts, Musique, Ingénierie, Théâtre et arts de la scène, Cinema",FRANCE 🦅,hybrides,Oubliez quil ya pas que 2 genre svp ,2023,Non,,Université de Lille
26/10/2023 19:34:29,,Technique (équivalent),Analyse et méthodes en arts appliquées et conception et création,"Histoire - Géographie, Art, Langues étrangères",Bien,Arts plastiques et visuels,Longues (>= master),Art,Université,France,,12-17,Féminin,,,,Bac,"Arts, Nature et Environnement, Voyages, Histoire et Archéologie, Musique, Mode et Design, Photographie, Théâtre et arts de la scène, Cinema",France,présentiel,,2023,Oui,,Lille 
26/10/2023 19:34:07,,Professionnel ,Mécanique ,"Mathématiques, Physique-chimie (PC), Histoire - Géographie, Langues étrangères",Bien,Art plastique et visuel ,Longues (>= master),Art,Université,France,Je ne sais pas encore ,18-21,Masculin,,,Proposé par parcours sup,Licence,"Sciences, Arts, Technologie et Informatique, Voyages, Musique, Photographie, Cinema",France ,hybrides,,2019,Oui,,Université de Lille 
26/10/2023 19:32:07,,Scientifique (équivalent),"Mathématiques, Sciences de l'ingénieur","Mathématiques, Éducation physique et sportive, Langues étrangères",Bien,Arts plastiques et visuels,Longues (>= master),Art,Université,France,Arts numériques,18-21,Féminin,,,,Licence,"Arts, Sport et Fitness, Musique, Mode et Design, Photographie",France,présentiel,,2023,Oui,,Université de Lille campus tourcoing
26/10/2023 19:31:43,,Littéraire (équivalent),"Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie, Arts","Philosophie, Art, Français, Langues étrangères",Assez-bien,arts plastiques,Longues (>= master),Art,Université,France,,12-17,Féminin,,,,Bac,"Arts, Cuisine et Gastronomie, Voyages, Musique, Science politique et Affaires publiques, Photographie, Théâtre et arts de la scène, Cinema",France,hybrides,,2022,Oui,,Université de Lille
26/10/2023 19:30:44,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Histoire - Géographie, Art, Éducation physique et sportive",Assez-bien,Licence ,Longues (>= master),Art,BTS,France ,Restauratrice d'oeuvre d'art ,18-21,Féminin,"Je suis plutôt sociable ,drôle et optimiste ",,,Bac,"Arts, Sport et Fitness, Nature et Environnement, Mode et Design, Cinema",France ,présentiel,,2023,Oui,,Université de Lille 
26/10/2023 19:02:39,,Mélange éco socio et litté,"Mathématiques, Sciences économiques et sociales, Langues, littératures et cultures étrangères",Anglais mais que cette langue pas les autres,Passable,LLCER anglais,Longues (>= master),"Lettres, langues et art",Université,France,Traduction,18-21,Féminin,,,C'était mon deuxième choix et comme je me débrouillais en anglais et que psycho m'ont pas pris je suis partie là bas et j'aime bien,Licence,"Voyages, Musique, Jeux vidéos et animes",France,présentiel,,2021,Oui,,Lille Pont de Bois
26/10/2023 18:16:58,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT)","Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT)",Très-bien,MPSI puis medecine,Longues (>= master),Sciences de la vie et de la santé,classe préparatoire,France, Chirurgie/Medecine,12-17,Masculin,,,Selon mes préférences et mes capacités,Licence,"Sciences, Arts, Histoire et Archéologie, Ingénierie",France,présentiel,,2020,Oui,,Lycée Faidherbe et Faculté de Médecine Henri Warembourg
26/10/2023 17:21:13,,Scientifique (équivalent),"Mathématiques, Sciences de la vie et de la Terre (SVT)",Mathématiques,Très-bien,Medecine,Longues (>= master),Sciences de la vie et de la santé,Université,Cameroun,Secteur médical ,12-17,Féminin,"Observatrice, rigoureuse",,Suite à des salons d’orientation ,MED3,"Musique, Santé et Bien-être, Cinema",France,présentiel,,2020,Oui,,Université de Lille Henri Warembourg
26/10/2023 15:51:05,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Sciences économiques et sociales, Langues étrangères",Bien,LLCER Anglais,Longues (>= master),"Lettres, langues et art",Université,France ,,12-17,Féminin,,,Vraiment au hasard ,Licence,"Arts, Mode et Design, Science politique et Affaires publiques, Cinema",France,présentiel,,2021,Non,,Université de Lille
26/10/2023 15:39:00,,Littéraire (équivalent),"Humanités, littérature et philosophie, Langues, littératures et cultures étrangères, Cinéma","Français, Langues étrangères",Très-bien,Llce anglais ,Longues (>= master),"Lettres, langues et art",Université,Luxembourg ,,18-21,Masculin,,,,Licence,"Arts, Cinema",France,présentiel,,2021,Oui,,Université de lille 
26/10/2023 15:19:51,,Scientifique (équivalent),"Physique-chimie (PC), Sciences de la vie et de la Terre (SVT)","Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Philosophie, Sciences numériques et technologie, Psychologie (sciences cognitives)",Bien,MIASHS parcours Sciences Cognitives + Licence Informatique Jeux vidéo,Longues (>= master),Informatique,Université,France,Informatique (programmation) - Data Science - recherche,12-17,Féminin,Curieuse - Dynamique - Rigoureuse,,"Recherches sur internet qui me permettait d'allier mes centres intérêt, avait de bons débouchés, et permettait de changer facilement de boulot",Licence,"Sciences, Technologie et Informatique, Psychologie ",France,hybrides,#helshyr,2018,Oui,,Lille Univ + Angoulême CNAM ENJMIN
25/10/2023 10:20:17,,Scientifique (équivalent),"Sciences économiques et sociales, Langues, littératures et cultures étrangères","Histoire - Géographie, Éducation physique et sportive, Langues étrangères, Sciences politiques",Très-bien,Sciences Politiques,Courtes ( < master),Droit et sciences politiques,Ecole de commerce,Equateur,,18-21,Masculin,,,,Bac,"Arts, Sport et Fitness, Histoire et Archéologie, Musique",France,présentiel,,2020,Oui,,
22/10/2023 11:44:19,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales",Sciences numériques et technologie,Bien,Licence MIASHS,Longues (>= master),Sciences et technologies,Université,France,Les métiers en lien avec la Data,18-21,Féminin,,,Mathématiques,Master,Technologie et Informatique,France,présentiel,,2019,Oui,,Université de Lille
20/10/2023 10:27:57,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Mathématiques, Éducation physique et sportive",Passable,Mathématique et Informatique ,Courtes ( < master),Sciences et technologies,Université,GABON,Analyse de données,22-25,Masculin,Curiosité - Perspicacité - Autonomie ,,Campus France,Master,"Sciences, Technologie et Informatique",France,hybrides,Bonne chance ,2019,Oui,,Université de Lille
19/10/2023 13:51:52,,Scientifique (équivalent),"Mathématiques, Humanités, littérature et philosophie, Numériques et sciences informatiques",Sciences numériques et technologie,Bien,Master d'informatique,Longues (>= master),Sciences et technologies,Université,France,Data Science,18-21,Masculin,,,"par passion, pour l'orientation beaucoup de recherche et parler à des gens sur discord ect",Master,"Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Musique",France,hybrides,Attention la prépa peut faire briser ou renforcer. Faites le bon choix.,2018,Oui,,Université de Lille -> Sorbonne Université
19/10/2023 10:33:10,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères",Histoire - Géographie,Très-bien,licence de sciences politiques ,Courtes ( < master),Droit et sciences politiques,Université,france,,12-17,Féminin,,,une amie m'a parlé de cette licence et elle concordait avec mes centres d'interets,Licence,"Arts, Sport et Fitness, Cuisine et Gastronomie, Voyages, Musique, Mode et Design, Science politique et Affaires publiques, Cinema",france,présentiel,,2022,Oui,,université de lille
18/10/2023 15:13:29,,Economie et Sociale (équivalent),"Mathématiques, Langues, littératures et cultures étrangères","Sciences économiques et sociales, Sciences numériques et technologie, Langues étrangères",Bien,Miashs,Longues (>= master),Sciences et technologies,Université,France,Interaction humain-machine,12-17,Féminin,"Capacité d'adaptation, bon contact social",,Une responsable a fait une présentation de la licence miashs au lycée. Comme je ne savais pas quoi faire j'ai choisi ça car ça regroupait un grand nombre de matières que j'aimais tout en restant assez généraliste. L'objectif de ce choix était de gagner du temps et de vraiment m'orienter qu'à partir du master,Master,"Sciences, Technologie et Informatique, Voyages, Musique, Santé et Bien-être, Ingénierie","France (permanent), Espagne (temporaire)",présentiel,,2019,Oui,,Université de Lille 
18/10/2023 12:01:48,,Economie et Sociale (équivalent),Bac ES spé maths ,"Art, Sciences économiques et sociales, Sciences numériques et technologie, Langues étrangères",Bien,Miashs,Longues (>= master),Sciences et technologies,Université,France,Interaction accessible et inclusive entre humain et machine ,12-17,Féminin,"Bon contact social, capacité d'adaptation, ambitieuse",,Une présentation de la licence miashs par un responsable pendant mon année de terminale. J'avais aucune idée de quoi faire donc j'ai opté pour ça qui regroupait plein de matières que j'aimais tout en restant assez généraliste. L'objectif était de me fermer le moins de portes possibles et de profiter de 3 ans de plus pour décider de mon orientation,Master,"Sciences, Arts, Technologie et Informatique, Musique, Mode et Design, Santé et Bien-être, Ingénierie, Théâtre et arts de la scène","France (principal), Espagne (temporaire)",présentiel,,2019,Oui,,Université de Lille
17/10/2023 13:09:05,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Mathématiques, Physique-chimie (PC)",Très-bien,Licence de Physique,Longues (>= master),Sciences et technologies,Université,France,,12-17,Féminin,,,,Licence,"Sciences, Arts, Sport et Fitness, Technologie et Informatique, Cuisine et Gastronomie, Voyages, Musique, Santé et Bien-être, Ingénierie, Cinema",France ,présentiel,,2021,Oui,,Université de Lille
17/10/2023 09:46:00,,Scientifique (équivalent),Sciences de la vie et de la Terre (SVT),"Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Philosophie, Langues étrangères, Communication et rédaction",Très-bien,Protection de l'environnement ,Courtes ( < master),Sciences Agronomiques,classe préparatoire,France,Associatif ou organisme public dans la médiation autour de la préservation de l'environnement ,18-21,Féminin,,,,Doctorat,"Sciences, Nature et Environnement, Théâtre et arts de la scène, Lire",France ,hybrides,Dommage on ne sait même pas a quoi sert ce formulaire...,2018,Oui,,Institut Agro rennes angers
17/10/2023 09:09:22,,Littéraire (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères",Langues étrangères,Assez-bien,Sciences du langage,Courtes ( < master),Humanités,Université,France ,Secteur paramédical ,12-17,Féminin,,,"J’ai consulté en étant petite une orthophoniste, c’était à une période difficile . J’ai créé un lien particulier avec elle et cela m’a fait beaucoup de bien. C’est en lianr l’envie d’aider et de « guérir » que j’ai pensé à elle, et que l’envie d’exercer cela est né.",Licence,"Voyages, Musique, Photographie, Astronomie",France,hybrides,,2022,Oui,,Lille 3 
16/10/2023 21:24:01,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Mathématiques, Physique-chimie (PC)",Très-bien,Physique ,Longues (>= master),Sciences et technologies,Université,France ,Recherche en physique ,18-21,Masculin,Curieux - zélé ,,Salon de l'étudiant et internet,Licence,"Sciences, Technologie et Informatique, Nature et Environnement, Voyages, Musique",France ,ligne,,2021,Oui,,Lille 1
16/10/2023 20:04:52,,Scientifique (équivalent),Physique-chimie (PC),"Mathématiques, Physique-chimie (PC)",Assez-bien,physique-chimie,Longues (>= master),Sciences et technologies,Université,France ,,12-17,Masculin,"Gentillesse, sociable ",,Aucune ,Licence,"Sciences, Musique, Cinema",France ,présentiel,Non ,2020,Oui,,Université de Lille 
16/10/2023 17:28:22,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de l'ingénieur",Mathématiques,Très-bien,maths,Longues (>= master),Sciences et technologies,classe préparatoire,France,Ingénieur en sport automobile ,18-21,Féminin,,,,Licence,"Sport et Fitness, Technologie et Informatique, Musique",,présentiel,,2021,Oui,,Fac Lille 
16/10/2023 17:04:23,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Mathématiques, Physique-chimie (PC)",Honorable,Physique ,Longues (>= master),Sciences et technologies,classe préparatoire,France,Ingénierie ,18-21,Masculin,,,,Licence,"Sciences, Technologie et Informatique, Voyages, Musique, Ingénierie",France,hybrides,,2021,Oui,,Université de Lille
16/10/2023 15:47:58,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire-géographie ( HGGSP )",Mathématiques,Honorable,Mathématiques,Longues (>= master),Sciences et technologies,Université,France,Enseignement,18-21,Masculin,,,"
",Licence,"Sciences, Technologie et Informatique, Nature et Environnement, Musique, Santé et Bien-être",France,présentiel,,2018,Oui,,Université de Lille
16/10/2023 15:32:43,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Numériques et sciences informatiques","Mathématiques, Philosophie, Français",Très-bien,Mathématiques ,Longues (>= master),Sciences et technologies,Université,France ,recherche ,12-17,Féminin,,,,Bac,"Sciences, Sport et Fitness, Musique",France ,présentiel,,2021,Oui,,Université de Lille 
16/10/2023 15:31:02,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Numériques et sciences informatiques","Mathématiques, Sciences numériques et technologie",Très-bien,Licence maths-info,Longues (>= master),Sciences et technologies,Université,France,L'enseignement et/ou la recherche,12-17,Masculin,"Gentil
Sympathique
Pas méchant",,J'aimais bien Scratch au collège alors j'ai voulu faire de l'informatique ,Bac,"Sciences, Sport et Fitness, Technologie et Informatique",France,présentiel,,2021,Oui,,Université de Lille
